dataset,alpha,group,point,lower,upper,true_mean,penalized_mean,covers_true_mean,covers_penalized_mean
14,0.0,1,0.935353356631122,0.7267138611851985,1.036817491045552,1.0,1.0,true,true
14,0.01,0,0.23859545310375996,0.07434726077972055,0.4247365906375348,0.2,0.2153846153846154,true,true
14,0.01,1,0.9215104843756114,0.7176556952548035,1.0226287376794538,1.0,0.9846153846153847,true,true
14,0.3,0,0.41625049477695286,0.27608789214749796,0.5601678069377016,0.2,0.4181818181818182,false,true
14,0.3,1,0.7390539550896295,0.5902145003500269,0.8544438146756155,1.0,0.7818181818181817,false,true
15,0.0,0,0.036397013020551316,-0.14627439709578857,0.21232030194050838,0.2,0.2,true,true
15,0.0,1,1.1026289886017846,0.9738950043369102,1.2261907673468002,1.0,1.0,true,true
15,0.01,0,0.05623919096184904,-0.12191988804482569,0.23112359078015332,0.2,0.2153846153846154,true,true
15,0.01,1,1.0814183845955698,0.9534764764869998,1.2032348522518086,1.0,0.9846153846153847,true,true
15,0.3,0,0.3176365740379356,0.19163579697991165,0.485309066701352,0.2,0.4181818181818182,true,true
15,0.3,1,0.8019935957900978,0.7041495355857262,0.9160900576113086,1.0,0.7818181818181817,false,true
16,0.0,0,0.18318426274798832,0.0004861302224257128,0.3552660248454471,0.2,0.2,true,true
16,0.0,1,1.056425928976456,0.9296621830830676,1.1844159152769318,1.0,1.0,true,true
16,0.01,0,0.20092151633867628,0.024772334109995887,0.3673065019358973,0.2,0.2153846153846154,true,true
16,0.01,1,1.040484852964572,0.917617889927358,1.1679073831272433,1.0,0.9846153846153847,true,true
16,0.3,0,0.43436753999066174,0.2832268829714257,0.5614968041519159,0.2,0.4181818181818182,false,true
16,0.3,1,0.8306789329735467,0.7067030610116148,0.9468586967607724,1.0,0.7818181818181817,false,true
17,0.0,0,0.13878270792177577,-0.030661286397594287,0.30266205675389196,0.2,0.2,true,true
17,0.0,1,0.9694720163725699,0.7925699205414939,1.1418634738420916,1.0,1.0,true,true
17,0.01,0,0.15375650661488016,-0.013917330971671185,0.3138928220118653,0.2,0.2153846153846154,true,true
17,0.01,1,0.9523591035804504,0.7790022952236589,1.119265401141178,1.0,0.9846153846153847,true,true
17,0.3,0,0.35065892829586487,0.21982925789946614,0.46382752909346137,0.2,0.4181818181818182,false,true
17,0.3,1,0.7273277645164679,0.5860948131762752,0.844531646361676,1.0,0.7818181818181817,false,true
18,0.0,0,0.19973599769740524,0.0929537867945292,0.3360188092839423,0.2,0.2,true,true
18,0.0,1,0.9634853937224217,0.8030824654951239,1.1269310521238514,1.0,1.0,true,true
18,0.01,0,0.2137674520631596,0.10814888408819649,0.3477610888334335,0.2,0.2153846153846154,true,true
18,0.01,1,0.9480802305376423,0.7906575758901866,1.1058410447465985,1.0,0.9846153846153847,true,true
18,0.3,0,0.39850760447668093,0.29634350647580415,0.5037344599942005,0.2,0.4181818181818182,false,true
18,0.3,1,0.7452536296360841,0.6187872257612838,0.8539366360515049,1.0,0.7818181818181817,false,true
19,0.0,0,0.24215443523403302,0.07434079655926505,0.3583805537669359,0.2,0.2,true,true
19,0.0,1,0.9176264449149657,0.7675956612966631,1.0851659435797898,1.0,1.0,true,true
19,0.01,0,0.2545640747421106,0.08949378805734719,0.37106985052497937,0.2,0.2153846153846154,true,true
19,0.01,1,0.9040018756648386,0.7577165787155733,1.066220199926491,1.0,0.9846153846153847,true,true
