dataset,alpha,group,point,lower,upper,true_mean,penalized_mean,covers_true_mean,covers_penalized_mean
42,0.01,1,0.980140838499423,0.8353838063785681,1.094205771517754,1.0,0.9846153846153847,true,true
42,0.3,0,0.49090272925916956,0.38191713092276325,0.5860822968033585,0.2,0.4181818181818182,false,true
42,0.3,1,0.8169157026358923,0.7140400439339588,0.9076372394465253,1.0,0.7818181818181817,false,true
43,0.0,0,0.2971372593737543,0.13966280370919115,0.5132467818930648,0.2,0.2,true,true
43,0.0,1,0.866951662289652,0.7094467476543305,0.9981426681889746,1.0,1.0,false,false
43,0.01,0,0.30753925353051526,0.15337179044891988,0.5194024577448808,0.2,0.2153846153846154,true,true
43,0.01,1,0.855377612453256,0.700300626116453,0.9835762918965754,1.0,0.9846153846153847,false,false
43,0.3,0,0.4444434344135062,0.31252013777801096,0.6027253332016814,0.2,0.4181818181818182,false,true
43,0.3,1,0.7030476083721815,0.5916973464973955,0.800912225172967,1.0,0.7818181818181817,false,true
44,0.0,0,0.15271857527549276,0.020139011614913594,0.29896183256381037,0.2,0.2,true,true
44,0.0,1,1.0420933446553633,0.9128067251871823,1.2087381955838503,1.0,1.0,true,true
44,0.01,0,0.17029004052752406,0.04082822699589951,0.31372853657747596,0.2,0.2153846153846154,true,true
44,0.01,1,1.025434682793048,0.897226022332277,1.1892404268061911,1.0,0.9846153846153847,true,true
44,0.3,0,0.40182402963659936,0.30416260154690206,0.5143621648853463,0.2,0.4181818181818182,false,true
44,0.3,1,0.8059284333779504,0.6918240456179462,0.9323929501264867,1.0,0.7818181818181817,false,true
45,0.0,0,0.017100243710251206,-0.1623846841680299,0.2181990631986798,0.2,0.2,true,true
45,0.0,1,0.9042312319095407,0.7385627115410294,1.0371883511715785,1.0,1.0,true,true
45,0.01,0,0.03537590355298331,-0.14088753802525875,0.23289114957422094,0.2,0.2153846153846154,true,true
45,0.01,1,0.88824002954715,0.7235673804610658,1.019091960364536,1.0,0.9846153846153847,true,true
